epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24.2247,0.84924,1.3474,1.04459,0.39431,0.66667,0.55013,0.41192,1.20603,6.47132,1.77029,0.0011684,0.0011684,0.0011684
44,24.7454,0.85089,1.253,1.0947,0.42069,0.83333,0.62555,0.41841,1.06942,6.0439,1.40125,0.0011486,0.0011486,0.0011486
45,25.2322,0.83965,1.32774,1.05028,0.42069,0.83333,0.62555,0.41841,1.06942,6.0439,1.40125,0.0011288,0.0011288,0.0011288
46,25.748,0.79745,1.40329,1.10173,0.63832,0.8866,0.85833,0.62787,1.0022,3.70442,1.17136,0.001109,0.001109,0.001109
47,26.2646,0.8109,1.11817,1.04647,0.63832,0.8866,0.85833,0.62787,1.0022,3.70442,1.17136,0.0010892,0.0010892,0.0010892
48,26.7834,0.8511,1.19657,1.02214,0.65286,1,0.87167,0.68024,0.91207,2.74417,1.22803,0.0010694,0.0010694,0.0010694
49,27.2813,0.90506,1.23452,1.12088,0.62815,1,0.71833,0.51294,0.9008,3.2407,1.18297,0.0010496,0.0010496,0.0010496
50,27.7814,0.80707,1.29341,1.04554,0.62815,1,0.71833,0.51294,0.9008,3.2407,1.18297,0.0010298,0.0010298,0.0010298
51,28.2744,0.82407,1.20212,1.02526,0.46867,1,0.68964,0.45344,0.94047,3.53523,1.18964,0.00101,0.00101,0.00101
52,28.7949,0.88698,1.28828,1.15358,0.46867,1,0.68964,0.45344,0.94047,3.53523,1.18964,0.0009902,0.0009902,0.0009902
53,29.281,0.90512,1.12758,1.11611,0.49374,0.83333,0.63459,0.43315,0.98779,4.64502,1.23058,0.0009704,0.0009704,0.0009704
54,29.758,0.9479,1.56652,1.17901,0.49374,0.83333,0.63459,0.43315,0.98779,4.64502,1.23058,0.0009506,0.0009506,0.0009506
55,30.2755,0.84487,1.1285,1.0962,0.52937,0.94101,0.64338,0.47663,0.9662,3.94811,1.23893,0.0009308,0.0009308,0.0009308
56,30.8244,0.82194,1.07856,1.04055,0.61704,0.80858,0.75458,0.61829,0.85602,3.06056,1.16671,0.000911,0.000911,0.000911
57,31.319,0.8249,1.15737,1.109,0.61704,0.80858,0.75458,0.61829,0.85602,3.06056,1.16671,0.0008912,0.0008912,0.0008912
58,31.8394,0.82675,1.13087,1.05001,0.61839,0.83333,0.81243,0.62941,0.78158,2.25044,1.10595,0.0008714,0.0008714,0.0008714
59,32.3311,0.9095,1.2403,1.13149,0.61839,0.83333,0.81243,0.62941,0.78158,2.25044,1.10595,0.0008516,0.0008516,0.0008516
60,32.8313,0.87989,1.21549,1.09207,1,0.92762,0.995,0.81548,0.76571,1.62299,1.11942,0.0008318,0.0008318,0.0008318
61,33.35,0.88575,1.1619,1.14051,1,0.92762,0.995,0.81548,0.76571,1.62299,1.11942,0.000812,0.000812,0.000812
62,33.8695,0.79789,1.11185,1.05294,0.88685,1,0.995,0.81642,0.7168,1.61971,1.12854,0.0007922,0.0007922,0.0007922
63,34.3609,0.81503,1.0837,1.04924,0.81444,1,0.94786,0.79157,0.70709,1.89094,1.14109,0.0007724,0.0007724,0.0007724
64,34.8524,0.78162,1.05869,1.07275,0.81444,1,0.94786,0.79157,0.70709,1.89094,1.14109,0.0007526,0.0007526,0.0007526
65,35.3637,0.73513,1.02659,1.01972,0.63927,1,0.8931,0.68692,0.70797,2.09472,1.14225,0.0007328,0.0007328,0.0007328
66,35.8454,0.84994,1.12495,1.11529,0.63927,1,0.8931,0.68692,0.70797,2.09472,1.14225,0.000713,0.000713,0.000713
67,36.3689,0.78591,1.0873,1.08165,0.57587,1,0.77058,0.60029,0.69156,2.41589,1.16966,0.0006932,0.0006932,0.0006932
68,36.8723,0.7915,1.07382,1.05602,0.57587,1,0.77058,0.60029,0.69156,2.41589,1.16966,0.0006734,0.0006734,0.0006734
69,37.3644,0.79634,0.99677,1.07433,0.57175,0.83333,0.75477,0.58087,0.6864,2.44328,1.17822,0.0006536,0.0006536,0.0006536
70,37.8902,0.76997,0.9678,1.04453,0.65519,1,0.85833,0.68324,0.68571,2.01311,1.17455,0.0006338,0.0006338,0.0006338
71,38.368,0.69474,1.07198,1.01452,0.65519,1,0.85833,0.68324,0.68571,2.01311,1.17455,0.000614,0.000614,0.000614
72,38.8945,0.85806,1.048,1.11521,1,0.9973,0.995,0.81867,0.6976,1.58887,1.17178,0.0005942,0.0005942,0.0005942
73,39.4229,0.78667,0.96006,1.08101,1,0.9973,0.995,0.81867,0.6976,1.58887,1.17178,0.0005744,0.0005744,0.0005744
74,39.9549,0.75511,0.859,0.99332,0.96509,1,0.995,0.79667,0.71201,1.50559,1.17089,0.0005546,0.0005546,0.0005546
75,40.4472,0.73692,0.92885,0.95691,0.96509,1,0.995,0.79667,0.71201,1.50559,1.17089,0.0005348,0.0005348,0.0005348
